# context_id	title	opening	section_deepening	final_recap	seven_day	fourteen_day	applied_or_free_development	security_required	prompt_example_required	dashboard_candidate
ai_driven_development	AI-driven development	Show as the opening big picture.	Use when introducing why the workflow exists.	Summarize the learner's new role as workflow designer.	required	required	required	no	yes	yes
human_agent_roles	Human and agent roles	Show early as the responsibility split.	Use before agent execution, review, and automation.	Summarize that humans own goals and final judgment.	required	required	required	no	yes	yes
prompts_context	Prompts and context	Show early as the main dialogue skill.	Use before every copy-paste prompt-heavy step.	Summarize prompt refinement as a core skill.	required	required	required	no	yes	yes
agent_rulebook	AGENTS.MD and product AGENT.md	Introduce as the agent rulebook concept.	Use before document-map and product-repository context steps.	Summarize rulebooks as reusable context.	recommended	required	required	no	yes	yes
three_design_docs	Requirements, specification, and implementation plan	Introduce as the design trio.	Use before creating or updating each design document.	Summarize how the trio prevents guessing.	required	required	required	no	yes	yes
tracker_handoff	Task tracker and handoff	Introduce as progress and restart context.	Use before interruption, resume, and sync steps.	Summarize the pair as continuity support.	required	required	required	no	yes	yes
memory_docs	Memory documents	Introduce after learners see a real feedback record.	Use when recording developer memory or failure recovery.	Summarize memory as stable context across sessions.	recommended	required	required	no	yes	yes
poc_agile	PoC and agile development	Introduce as small-cycle thinking.	Use before first implementation and later improvements.	Summarize small iteration as safer than big guesses.	recommended	required	required	no	yes	yes
acceptance_eval	Acceptance criteria and eval	Introduce before testing.	Use before Playwright, CI, and review gates.	Summarize checks as completion evidence.	recommended	required	required	no	yes	yes
quality_basics	Refactorability, ecosystem fit, reusability, and generality	Introduce before implementation guidance.	Use when asking the agent to code or refactor.	Summarize quality as future-safe implementation judgment.	recommended	required	required	no	yes	yes
git_ci	Git, GitHub, and CI	Introduce before repository sync.	Use before commit, push, PR, merge, CI, and sync steps.	Summarize Git as controlled change history.	required	required	required	no	yes	yes
harness_engineering	Harness engineering	Mention lightly in opening as the safety environment.	Use when connecting tests, hooks, CI, dashboard, and checks.	Summarize harnesses as repeatable safety support.	optional	recommended	required	no	yes	yes
governance_layer	Governance layer	Mention lightly as rules and approvals.	Use before approval gates, Git policies, sync contracts, and risky actions.	Summarize governance as controlled automation.	optional	recommended	required	yes	yes	yes
hitl_hootl	Human-in-the-loop and human-out-of-the-loop	Mention only as a future concept in the opening.	Use when discussing automation levels and merge policy.	Summarize when human approval remains necessary.	optional	recommended	required	yes	yes	yes
skills_subagents	Skills, sub-agents, and multi-agent work	Preview as role-based help.	Use before skills and sub-agent lessons, before any completed role plan.	Summarize roles as multiple viewpoints under one goal.	optional	required	required	no	yes	yes
mcp_api	MCP, APIs, and external integration	Preview as external tool connection.	Use before MCP/API workflow steps and external integration.	Summarize integrations as useful but permission-sensitive.	optional	required	required	yes	yes	yes
security_basics	AI-driven development security basics	Show a short safety mindset in the opening.	Use in every risky or external-facing step.	Summarize baseline safety habits.	required	required	required	yes	yes	yes
dashboard_review	Dashboard and review material	Preview as review and progress support.	Use when showing dashboard or illustration review.	Summarize the dashboard as a learning and development memory surface.	optional	recommended	required	no	yes	yes
free_development	Free development and self-directed work	Preview as the post-lesson destination.	Use near final lesson and product-improvement steps.	Summarize that the workflow applies to the learner's own product.	optional	recommended	required	no	yes	yes
